,0001-0201-0092,0001-0162-0275,0001-0211-0251,0001-0242-0235,0001-0283-0224,0001-0255-0169,0001-0257-0090,0001-0356-0025,0001-0363-0229,0001-0306-0247,0001-0332-0296,0001-0335-0322,0001-0283-0354,0001-0398-0250,0001-0423-0101,0001-0476-0399,0001-0377-0361,0001-0377-0396,0001-0352-0433,0001-0353-0483,0001-0421-0446,0001-0477-0460,0001-0484-0473,0001-0489-0488,0001-0428-0491,0002-0433-0252,0002-0469-0200,0002-0447-0327,0002-0486-0350,0002-0451-0391,0002-0408-0402,0002-0339-0468,0002-0289-0468,0002-0294-0411,0002-0311-0379,0002-0303-0157,0002-0345-0068,0002-0286-0083,0002-0221-0266,0002-0189-0305,0002-0166-0151,0002-0126-0294,0002-0135-0270,0002-0134-0387,0002-0166-0423,0002-0206-0409,0002-0227-0381,0002-0100-0253,0002-0091-0109,0002-0106-0097,0002-0173-0031,0003-0401-0191,0003-0417-0185,0003-0440-0119,0003-0399-0291,0003-0402-0316,0003-0426-0344,0003-0397-0415,0003-0404-0434,0003-0313-0236,0003-0265-0392,0003-0284-0384,0003-0244-0172,0003-0213-0256,0003-0223-0271,0003-0185-0324,0003-0182-0174,0003-0183-0383,0003-0093-0334,0003-0056-0292,0003-0131-0417,0003-0120-0421,0003-0086-0188,0003-0022-0134,0003-0018-0221,0003-0135-0100,0003-0226-0034,0003-0048-0147,0002-0121-0255,0002-0138-0267,0002-0365-0217,0002-0421-0103,0002-0218-0488,0002-0220-0472
0001-0201-0092,0.0,188.03417817113416,159.28528422164032,148.96195724975945,156.47526193246009,95.384690279621,56.87156891423556,169.3000397880113,213.1097978806026,188.83597252058067,245.72971721568902,266.7637932097053,276.03920225315017,253.50842666033466,223.77441946073432,413.4546372836665,322.0505284883117,352.8275601845829,375.5860591304918,419.470882032167,416.0912048005787,459.6578680784324,475.66521806138815,490.67789477754565,458.98642050279847,283.9553184680377,290.0052024023,341.686457123341,385.5810308049528,392.9804051448053,375.9311875271265,401.6025755509598,389.1359896704366,333.4442691668917,309.3980389204269,122.42217569341314,145.91052833424112,84.65764327459186,179.62570891833386,215.59828010477176,69.37152453913407,216.6421001029004,190.27304421687157,303.59376406222543,332.62741683354255,314.2158082333061,290.9367542954998,191.57518639447045,111.60150474647733,95.85898678382857,67.0455468112702,226.71019408199192,238.25978628451855,243.42329812466104,283.76207640723317,303.6942511181522,341.10490318569776,379.69875382250564,401.2967321349904,185.86326691543204,308.3629744671403,303.86248051310633,95.88017684687289,168.75077330027216,183.3015445282755,234.5339689828269,88.26032907649761,294.3360345755946,267.07808644825434,249.42493478993532,331.7001620103394,340.1480278589669,151.46078506282763,184.43001592664368,225.6487840897095,71.83268437663376,67.21138475031496,164.03892129922045,180.0257863521631,186.7894715428223,207.95263466121875,221.32040357540728,398.8871704156731,381.95376611452497
0001-0162-0275,188.03417817113416,0.0,54.11913822684362,87.50138123768542,131.04949759784358,139.79923649684497,207.93304255064504,315.88828763084217,204.75547283726814,146.36063163931072,171.0821166389429,176.80027748301558,143.91546100097605,236.0607789521452,313.35763702161177,337.4094418614412,229.1746957304718,245.59303513462942,247.66366788614977,281.0205659782944,308.00348066959856,363.07667964882546,376.0216117809099,388.94398486795336,340.73886420879853,271.4484788874255,314.6530892377259,289.3164106671131,331.05439725227444,312.1444287890548,276.7875173628703,260.9507119460424,232.42532187116268,188.64870387429076,180.7633160199243,183.26357108912887,273.8263608128017,227.96083011483182,59.83377991859784,42.03972464813184,125.41592011984419,43.39411153337581,30.81295238317649,116.07086581252625,147.07578717862177,137.18157739382323,124.03611232416885,67.61493960619285,181.5994564210928,188.50816420165737,244.75072165053322,254.56914136126258,271.6305259409032,319.1138091063072,236.84984405821598,244.4651984431113,274.6649914135189,273.3978122139134,290.82804728296026,156.18808334618197,156.62352466667434,162.8050402401694,134.04855294539934,60.702848241361906,65.3859835140853,58.461108735362714,106.40847477741674,113.00049285274267,95.16891349982039,111.89900847905024,144.93464652365077,153.61390063070723,121.64990283885018,202.42684085406964,157.28765066724588,179.46142130305086,250.50561449671315,175.33986910652013,50.20028063251232,27.982638885206672,210.66712588325083,310.4369835298859,220.8294163873448,205.21234527040298
0001-0211-0251,159.28528422164032,54.11913822684362,0.0,33.3825854738416,77.23944822513161,91.46854630597026,166.60909994657362,267.490607294714,153.10222520643967,95.84526663717652,130.92665142339163,142.34291501661576,127.04521301115216,186.89693577333412,259.5636785842734,304.85242979542073,198.73729258400874,221.3289547834371,232.70648730077298,272.13394281883967,285.8272932137491,337.7300505778872,351.988557657415,365.8734770431516,323.3641977780769,222.79589239268793,262.5809072896817,249.06833789280964,292.4749541662419,280.4832446256738,250.42004584347822,252.94176196094512,233.72331810472176,181.41182738280412,163.98505560848926,131.0702227830131,224.03139699100907,183.23302506627104,25.01655731556083,61.40514944379154,109.30487853327793,96.483152755152,78.83923981396123,157.51228603225874,177.64428249438907,155.54718632185677,132.11776677059927,111.4618360613998,185.4002750086543,186.78851100267758,222.46796292317063,201.54776100947745,218.5169550827436,265.21071343517286,193.58931468082642,204.52410498846325,237.77058012828832,249.83673569468252,269.38103477234023,105.3801039179372,153.5990511319547,152.87872099621447,88.533141243336,26.41798302807894,35.06319602670101,82.2184925791102,85.52106536362406,139.00587311048076,147.3573414740567,163.14854236851642,184.6844782647454,195.14516054982766,143.75684624460533,223.82535405572165,197.0323240192036,170.4722604418448,217.79096800645138,195.25677697694272,91.27827975163436,74.56285427955883,158.2306802908011,256.70568944164745,239.83250357564307,222.85258866504967
0001-0242-0235,148.96195724975945,87.50138123768542,33.3825854738416,0.0,44.37805500904427,66.42661583848836,145.5289161688477,238.9699966175715,122.22639369371718,67.40998239790613,112.00031429735374,127.87790008626865,127.25317979221637,158.0865480410185,226.48609007664942,287.8538304078379,185.2462631390682,211.75346087711114,229.2449305344462,271.7376809056944,276.39034258586025,325.43383164418987,340.4404815226216,354.840892176656,316.6190227715991,194.12776281373917,230.8670631180292,226.98328166545818,271.1844431580841,264.43579284805344,238.68120396003764,253.50501446396805,240.48273077014306,184.6882733117447,161.80903528672624,99.97841865357908,194.56732123699322,158.72833966750758,41.42755944481598,88.9503941802999,112.1500056875764,129.6564873626484,111.31890083322423,186.25700497993262,201.37192547431894,174.2993437311981,146.98867452383115,142.15012515876904,195.50991724885904,193.60803509547713,214.644949175021,169.14691829463365,186.00370573433892,232.01800378639814,169.8926936022657,183.39164063506558,218.45622882401244,240.09504765501933,260.7262002924571,76.2532950875891,160.8635552533407,155.89113561039355,67.30844860719512,42.10969406987885,47.56259326245515,108.26890311931064,88.27952916022542,162.00505899342355,180.09759941521892,195.56803551831644,212.29664843851984,223.37324633185702,165.07793853865954,242.32003625699713,224.66362934478408,173.51180061112865,202.421959091399,213.6911745096416,121.87347388223196,106.9298157316345,126.52905592666612,223.68318503573136,256.433423495474,239.09202073401786
0001-0283-0224,156.47526193246009,131.04949759784358,77.23944822513161,44.37805500904427,0.0,61.320923258708085,136.2247317318418,211.0484430984678,79.2934000295196,33.014541296575544,89.26950269056235,110.55040863565833,130.6814523041135,117.32049185347282,185.98219611088652,260.76801037316795,165.60965625410208,196.54529297412702,221.7642838057146,267.18244787848437,259.61623236682556,304.0319890547891,319.829922679252,334.73419313156035,302.710580687521,153.17861362388942,186.84954864343558,194.11425478977856,238.70504143755997,239.0125139114887,219.68228383889837,250.69928769998955,246.22477619937956,188.00549046921222,159.24024483126715,70.2406193845336,165.2885281857123,141.8938634610454,78.04337109498827,125.9587647699105,137.96042633277764,172.99235781551042,155.41005265082552,221.60386748872747,229.93326321426423,197.5015464727991,166.86216195248,186.19027777115951,224.33747529913356,219.22175131703017,222.29309778351288,125.43260041476302,142.17144743182152,189.93772835098454,136.24597788221533,152.99170996971992,189.61571918291227,223.83052926865057,245.4017758559375,40.59759736683943,170.71305337895112,160.6588930105873,68.97783217634381,79.99296410036025,80.6395719466751,143.03038423966325,116.17137437797427,190.88473565595257,222.04679848653322,239.59412381219917,245.8161452788684,257.583949667258,203.84424972049797,277.8997393920352,267.06641567771044,195.80583038782845,199.5649293709092,249.56398439262733,165.90465933219747,151.02749147888437,82.89520777858539,183.31934574277435,274.6055413507885,257.1790949681907
0001-0255-0169,95.384690279621,139.79923649684497,91.46854630597026,66.42661583848836,61.320923258708085,0.0,79.67978940771171,176.4512438078194,123.46114287842902,93.45412623406652,150.44107875185026,171.86154400017026,186.9657431986368,164.3500555934474,182.504499855219,319.128575899267,226.72061728922102,257.8661889809112,282.36701954388275,327.25537718160433,320.8317051328217,364.37548421729394,380.33664326527577,395.3290190202505,364.0307434110379,197.6850072852998,216.63952121586584,249.16708668006223,293.5312190050868,298.1939572825851,280.640942433384,310.17854392199246,302.24186317110855,244.82454646097682,218.08936180534684,51.232049298138996,134.3424714829238,92.88386977622831,105.58834124228478,151.82188693158466,90.31025958156897,179.38701176404996,155.86069658937924,248.79444245459825,267.07928315504233,240.59688571293307,212.88598048570105,176.26612281272267,174.7989012554199,166.54486961207874,161.14055730691658,151.2936882015903,166.06370458496932,194.33345966497788,190.99132189069923,209.93247642655325,247.1687977400205,284.8080691796259,306.45094621062935,92.4873912035208,223.56652707201232,216.12080091415623,26.893793014755282,99.22130661757656,109.16103310325556,171.14176271796006,77.11509492746161,227.29660230778705,232.23185727153424,235.32399571794576,275.53681589959626,286.09972009310604,172.31030682096383,236.53797967163683,243.69734275946414,141.64148557939447,140.63155954267907,209.64517462263137,157.76778926550728,151.4052612086048,121.15330025260461,179.7451510685496,322.44196237471436,305.0496783859654
0001-0257-0090,56.87156891423556,207.93304255064504,166.60909994657362,145.5289161688477,136.2247317318418,79.67978940771171,0.0,118.30737613568157,174.66044216361487,164.75649249323538,221.4273795517303,244.45260929288864,265.643931704852,213.07099520061814,167.07229531894185,378.60838273507477,296.014711386576,329.169415391247,357.3260718704792,403.15729147312084,389.95589112293595,428.84813548097856,445.28861363490114,460.52348817133094,434.61022813510755,240.2691630691603,238.92230624551095,303.96061678506913,346.5292508280562,360.13893625892007,348.8276583666896,386.7771602235393,381.1287530905475,323.28522806720406,295.2108990159837,82.09033653177349,90.07772751698056,30.207765826913388,183.07262973824623,226.89201439133763,109.3690937445446,243.04047838016734,217.26299544426334,321.7931832782323,343.98735795495827,319.3532457696788,292.22224156745614,227.341851889585,167.8435692697992,152.4025885445858,103.47438169222322,178.6328443300441,188.31532247942357,187.65824649898727,248.45900969336512,270.06091240387957,307.037520311143,354.65892256537103,376.59502674250996,159.22719105292225,302.68048653414115,294.58837807414915,86.81840551199596,174.27432045467455,186.0514766501235,246.10188658746094,115.46769821865608,304.17068665130404,295.57590418933916,287.01923391172346,349.17740499819985,359.0122949455729,198.8162989992946,239.97693762069125,274.2641530090706,126.50307875052654,68.65504867750526,218.22353268214528,212.32173949383258,213.17267158497765,167.36811810142532,164.7777078455096,401.8357011580265,384.4657085028234
0001-0356-0025,169.3000397880113,315.88828763084217,267.490607294714,238.9699966175715,211.0484430984678,176.4512438078194,118.30737613568157,0.0,203.74431196455137,227.0343119831893,273.57926960974964,297.45834618789354,336.7267426803388,228.24247837749496,101.60291595805282,391.47361765017536,336.2319122442673,371.65420101670406,408.5796730967555,455.6344549400637,423.2282604890758,449.18370720702677,465.89700820233907,480.993055501845,469.4622078033424,240.2876759772804,208.30522562549748,314.73550404093623,349.790175607507,379.39367615714855,382.4858395418058,442.73147437104615,448.9041408471892,390.6216333619186,357.84439779405596,142.75002923059623,48.10932382767293,93.15685724650272,278.7471312279432,326.8370799176197,227.29520291369573,354.1125599651283,329.3471193892547,424.4672055478964,439.1216389739382,408.2211290672521,377.6419425931865,343.44633813882047,278.6651666921272,261.09796865565824,183.98708684307167,173.76922860226946,172.49428305504208,129.0346887618479,271.9319495271034,295.1428770763709,327.23282940442067,392.31596914085185,413.62400683202344,217.55783709058088,377.9502097499087,365.0208012633274,185.89573687157062,272.4216619712115,280.4632294342463,345.1126680421372,230.43192812308084,398.908960303973,406.80210610779415,403.13584806119917,450.38404033243114,461.3277084281948,316.36230217465055,351.6405227692909,391.9984548506137,236.31611069578543,133.16992582552507,332.2476429541128,327.213395563633,325.0198234907827,192.23040454275431,101.55606455473493,484.8889570761995,467.5059567597821
0001-0363-0229,213.1097978806026,204.75547283726814,153.10222520643967,122.22639369371718,79.2934000295196,123.46114287842902,174.66044216361487,203.74431196455137,0.0,58.67128425722182,75.10922845575304,97.3434972601999,148.00130197385096,40.90246314263507,141.57339106538052,204.06414058466484,132.6728833022596,168.04233583502491,205.1304316305563,252.11006201926688,222.42459463306483,255.9778330478651,272.61384232189505,287.9088369393438,268.4306141155958,75.63257626269397,110.40419940072013,129.82788774775912,172.9849279614711,186.63943958673875,181.31996401346407,240.0514865492373,251.11091408329415,194.71362847652892,160.35768392418032,94.57601876704872,160.3770936555921,167.30844276854762,147.34778373369397,190.1805637880934,211.0828569760129,245.61585163136613,230.9263077152649,277.7205666905197,274.32166629762645,235.51566292886181,202.9056147069199,263.8313503072098,297.2567511602457,289.726359188348,274.49229615020465,60.16660346555527,75.27249850454785,136.58040408109312,77.21901164181585,98.85482292011936,134.3415155069888,190.55465149637868,212.10104422156851,56.57110002995588,190.89095632823577,174.20931796640036,133.13383555505558,151.93575059720035,147.5338004388518,203.1978814221997,190.9319629385442,238.4557117841815,290.7873337943913,314.6481782799676,297.95491430928155,310.49478884344785,282.31473400188355,354.7739503458593,345.97649426625827,264.0552221621613,239.47156896322957,326.71471450628724,243.46824571956176,226.70555458154718,17.540766568346175,139.64157464166064,299.02281528677753,282.46532943160526
0001-0306-0247,188.83597252058067,146.36063163931072,95.84526663717652,67.40998239790613,33.014541296575544,93.45412623406652,164.75649249323538,227.0343119831893,58.67128425722182,0.0,57.25177529716629,79.73669807979557,109.69441366279898,91.14352679197874,186.79833385779125,227.8200444094494,133.335272887635,165.1327558306786,192.73845681531665,238.9291310443044,227.52552714663503,271.1706405128457,287.03326325161567,301.9802923857038,271.15008360720344,127.37255807519999,168.78768196987534,162.23114534333365,206.74509898682194,206.0509140701745,187.34131122133505,223.38360935590347,223.2747218676466,164.81993159221514,133.68596335131016,90.86323742358522,181.0692133343553,166.9022686313864,89.08604402503941,132.17637086053017,170.1565835793191,187.11025270240557,173.0693247921383,222.3369933249959,223.66575094307936,187.5177231186478,155.40768896648055,206.9811145925271,256.3753816458121,251.77321823307076,254.30776816248093,113.27790476297761,129.94121402371673,186.36465286525998,105.23336386594771,120.90476159270233,157.13364982449914,192.2025001779414,213.86572263513162,27.507999419781612,152.3110955809454,139.4925545457295,100.2672220244855,95.23723878737098,90.27333518061518,146.4384485638115,147.1751046783387,186.22611192707294,232.52477604562188,256.6096088281102,244.2560057050068,256.55227991480467,231.61622262874508,307.79768118803264,291.33252075760225,228.44289744702127,229.09405547051517,279.23692374859115,186.68072601308222,168.9346271847916,66.86201817513498,184.33221399470034,259.1433898152019,241.9287926427999
